"species_clean","order_clean","family_clean","n_records","n_georeferenced","n_locations","year_range","latest_year","n_provinces","countries","in_focal","percent_records","cumulative_percent","note"
"Sciurus vulgaris","Rodentia","Sciuridae",644,642,234,"1938 - 2026",2026,19,"KG, KZ, TJ, UZ",TRUE,8.58,8.6,""
"Apodemus sylvaticus","Rodentia","Muridae",544,2,2,"1903 - 2006",2006,3,"KG, KZ, UZ",TRUE,7.25,15.8,""
"Mus musculus","Rodentia","Muridae",459,120,50,"1843 - 2026",2026,26,"KG, KZ, TJ, TM, UZ",TRUE,6.11,21.9,""
"Apodemus sp.","Rodentia","Muridae",335,327,57,"1925 - 2009",2009,4,"KG, KZ, TJ, TM, UZ",TRUE,4.46,26.4,""
"Marmota baibacina","Rodentia","Sciuridae",325,301,174,"1943 - 2026",2026,11,"KG, KZ, TJ",TRUE,4.33,30.7,""
"Rhombomys opimus","Rodentia","Muridae",322,236,163,"1888 - 2026",2026,25,"KZ, TM, UZ",TRUE,4.29,35,""
"Allactaga elater","Rodentia","Dipodidae",232,73,33,"1901 - 2026",2026,15,"KG, KZ, TJ, TM, UZ",TRUE,3.09,38.1,""
"Ellobius tancrei","Rodentia","Cricetidae",223,174,58,"1908 - 2026",2026,13,"KG, KZ, TJ, UZ",TRUE,2.97,41.1,""
"Spermophilus fulvus","Rodentia","Sciuridae",214,204,163,"1896 - 2026",2026,27,"KG, KZ, TJ, TM, UZ",TRUE,2.85,43.9,""
"Hemiechinus auritus","Eulipotyphla","Erinaceidae",202,187,166,"1896 - 2026",2026,38,"KG, KZ, TJ, TM, UZ",TRUE,2.69,46.6,""
"Lepus tolai","Lagomorpha","Leporidae",187,185,159,"1896 - 2026",2026,23,"KG, KZ, TJ, UZ",TRUE,2.49,49.1,""
"Marmota bobak","Rodentia","Sciuridae",171,128,103,"1954 - 2026",2026,8,"KZ",TRUE,2.28,51.4,""
"Marmota caudata","Rodentia","Sciuridae",170,152,110,"1896 - 2026",2026,12,"KG, KZ, TJ, UZ",TRUE,2.26,53.7,""
"Ondatra zibethicus","Rodentia","Cricetidae",170,169,98,"2011 - 2026",2026,19,"KG, KZ, UZ",TRUE,2.26,55.9,""
"Cricetulus migratorius","Rodentia","Cricetidae",167,58,29,"1853 - 2026",2026,14,"KG, KZ, TJ, TM, UZ",TRUE,2.22,58.1,""
"Apodemus agrarius","Rodentia","Muridae",144,142,138,"1913 - 2024",2024,14,"KG, KZ",TRUE,1.92,60.1,""
"Meriones libycus","Rodentia","Muridae",123,20,18,"1841 - 2026",2026,11,"KG, KZ, TM, UZ",TRUE,1.64,61.7,""
"Rattus norvegicus","Rodentia","Muridae",118,60,41,"1988 - 2026",2026,13,"KG, KZ, TJ, TM, UZ",TRUE,1.57,63.3,""
"Meriones meridianus","Rodentia","Muridae",105,41,19,"1908 - 2025",2025,14,"KZ, TM, UZ",TRUE,1.4,64.7,""
"Erinaceus roumanicus","Eulipotyphla","Erinaceidae",103,103,62,"2007 - 2026",2026,10,"KZ",TRUE,1.37,66,""
"Apodemus uralensis","Rodentia","Muridae",88,17,11,"1909 - 2025",2025,9,"KZ, TM, UZ",TRUE,1.17,67.2,""
"Blanfordimys juldaschi","Rodentia","Cricetidae",85,25,2,"1890 - 2009",2009,6,"KG, TJ, UZ",FALSE,1.13,68.3,""
"Rattus pyctoris","Rodentia","Muridae",84,21,9,"1926 - 2026",2026,11,"KG, TJ, UZ",FALSE,1.12,69.5,""
"Ochotona rutila","Lagomorpha","Ochotonidae",83,78,44,"1892 - 2026",2026,14,"KG, KZ, TJ, TM, UZ",TRUE,1.11,70.6,""
"Spermophilus brevicauda","Rodentia","Sciuridae",81,81,22,"1948 - 2026",2026,6,"KZ",TRUE,1.08,71.7,""
"Crocidura suaveolens","Eulipotyphla","Soricidae",79,21,16,"1904 - 2016",2016,8,"KG, KZ, TJ, TM, UZ",TRUE,1.05,72.7,""
