"species_clean","order_clean","family_clean","n_records","n_georeferenced","n_locations","year_range","latest_year","n_provinces","percent_records","cumulative_percent","note"
"Sciurus vulgaris","Rodentia","Sciuridae",413,411,137,"1938 - 2026",2026,11,10.89,10.9,""
"Rhombomys opimus","Rodentia","Muridae",249,199,133,"1911 - 2026",2026,12,6.57,17.5,""
"Marmota baibacina","Rodentia","Sciuridae",196,177,74,"1957 - 2026",2026,3,5.17,22.6,""
"Mus musculus","Rodentia","Muridae",173,27,22,"1843 - 2026",2026,15,4.56,27.2,""
"Marmota bobak","Rodentia","Sciuridae",171,128,103,"1954 - 2026",2026,8,4.51,31.7,""
"Allactaga elater","Rodentia","Dipodidae",160,63,25,"1901 - 2026",2026,12,4.22,35.9,""
"Ondatra zibethicus","Rodentia","Cricetidae",147,146,78,"2011 - 2026",2026,11,3.88,39.8,""
"Apodemus agrarius","Rodentia","Muridae",139,137,133,"1913 - 2024",2024,12,3.67,43.5,""
"Hemiechinus auritus","Eulipotyphla","Erinaceidae",128,121,103,"1896 - 2026",2026,16,3.38,46.8,""
"Spermophilus fulvus","Rodentia","Sciuridae",120,111,96,"1931 - 2026",2026,13,3.17,50,""
"Erinaceus roumanicus","Eulipotyphla","Erinaceidae",103,103,62,"2007 - 2026",2026,10,2.72,52.7,""
"Lepus tolai","Lagomorpha","Leporidae",94,94,87,"2010 - 2026",2026,9,2.48,55.2,""
"Cricetulus migratorius","Rodentia","Cricetidae",87,23,13,"1853 - 2024",2024,9,2.29,57.5,""
"Spermophilus brevicauda","Rodentia","Sciuridae",81,81,22,"1948 - 2026",2026,6,2.14,59.6,""
"Lepus europaeus","Lagomorpha","Leporidae",77,77,48,"1927 - 2026",2026,12,2.03,61.7,""
"Apodemus uralensis","Rodentia","Muridae",74,15,10,"1909 - 2025",2025,8,1.95,63.6,""
"Ellobius talpinus","Rodentia","Cricetidae",61,54,15,"1913 - 2026",2026,10,1.61,65.2,""
"Dipus sagitta","Rodentia","Dipodidae",56,21,13,"1929 - 2026",2026,7,1.48,66.7,""
"Rattus norvegicus","Rodentia","Muridae",56,48,30,"1988 - 2026",2026,6,1.48,68.2,""
"Meriones meridianus","Rodentia","Muridae",55,12,6,"1912 - 2025",2025,7,1.45,69.6,""
"Meriones tamariscinus","Rodentia","Muridae",51,13,6,"1909 - 2016",2016,7,1.35,71,""
"Ochotona rutila","Lagomorpha","Ochotonidae",51,49,22,"1969 - 2026",2026,4,1.35,72.3,""
"Crocidura suaveolens","Eulipotyphla","Soricidae",48,12,9,"1911 - 2016",2016,6,1.27,73.6,""
"Lepus timidus","Lagomorpha","Leporidae",48,47,20,"1924 - 2026",2026,10,1.27,74.9,""
"Meriones libycus","Rodentia","Muridae",42,13,11,"1921 - 2026",2026,6,1.11,76,""
"Stylodipus telum","Rodentia","Dipodidae",36,17,12,"1927 - 2016",2016,7,0.95,76.9,""
"Ellobius tancrei","Rodentia","Cricetidae",32,14,14,"1913 - 2026",2026,7,0.84,77.8,""
"Spermophilus pygmaeus","Rodentia","Sciuridae",32,27,22,"1929 - 2025",2025,6,0.84,78.6,""
"Microtus gregalis","Rodentia","Cricetidae",31,5,4,"1912 - 2016",2016,5,0.82,79.4,""
"Meriones sp.","Rodentia","Muridae",30,29,8,"2015 - 2016",2016,3,0.79,80.2,""
"Allactaga major","Rodentia","Dipodidae",29,20,18,"1928 - 2026",2026,12,0.76,81,""
"Pygeretmus pumilio","Rodentia","Dipodidae",29,16,7,"1839 - 2016",2016,7,0.76,81.7,""
"Cricetus cricetus","Rodentia","Cricetidae",27,16,16,"1924 - 2026",2026,7,0.71,82.5,""
"Microtus arvalis","Rodentia","Cricetidae",25,6,2,"1894 - 2007",2007,5,0.66,83.1,""
"Hystrix indica","Rodentia","Hystricidae",24,21,18,"2016 - 2025",2025,4,0.63,83.8,""
"Sorex tundrensis","Eulipotyphla","Soricidae",24,3,2,"2016 - 2016",2016,4,0.63,84.4,""
"Sicista tianshanica","Rodentia","Dipodidae",23,22,14,"1938 - 1938",1938,2,0.61,85,""
"Urocitellus undulatus","Rodentia","Sciuridae",22,21,16,"1967 - 2026",2026,4,0.58,85.6,""
"Allocricetulus sp.","Rodentia","Cricetidae",21,21,5,"1970 - 2007",2007,3,0.55,86.1,""
"Spermophilus sp.","Rodentia","Sciuridae",20,19,17,"1882 - 2006",2006,10,0.53,86.7,""
"Muridae","Rodentia","Muridae",18,0,0,"1929 - 1929",1929,2,0.47,87.1,"collection records only, none georeferenced"
"Spermophilus erythrogenys","Rodentia","Sciuridae",17,14,11,"1956 - 2026",2026,4,0.45,87.6,""
"Apodemus sp.","Rodentia","Muridae",16,15,1,"1935 - 1937",1937,1,0.42,88,""
"Lagurus lagurus","Rodentia","Cricetidae",16,6,5,"1928 - 2021",2021,5,0.42,88.4,""
"Microtus ilaeus","Rodentia","Cricetidae",16,1,1,"1911 - 2023",2023,2,0.42,88.8,""
"Allactaga sibirica","Rodentia","Dipodidae",15,8,6,"2007 - 2016",2016,5,0.4,89.2,""
"Alticola argentatus","Rodentia","Cricetidae",15,11,1,"1904 - 1913",1913,2,0.4,89.6,""
"Castor fiber","Rodentia","Castoridae",15,15,11,"2012 - 2026",2026,3,0.4,90,""
"Arvicola amphibius","Rodentia","Cricetidae",13,2,2,"1913 - 2022",2022,2,0.34,90.4,""
"Dryomys nitedula","Rodentia","Gliridae",13,9,9,"1938 - 2026",2026,6,0.34,90.7,""
"Apodemus sylvaticus","Rodentia","Muridae",11,2,2,"1903 - 1979",1979,3,0.29,91,""
"Myodes centralis","Rodentia","Cricetidae",11,4,1,"1906 - 2016",2016,3,0.29,91.3,""
"Myodes rutilus","Rodentia","Cricetidae",11,1,1,"1927 - 2016",2016,2,0.29,91.6,""
"Myospalax myospalax","Rodentia","Spalacidae",11,8,7,"1926 - 2025",2025,2,0.29,91.9,""
"Sicista subtilis","Rodentia","Dipodidae",11,11,4,"2007 - 2007",2007,2,0.29,92.2,""
"Spermophilopsis leptodactylus","Rodentia","Sciuridae",11,10,10,"1923 - 2026",2026,4,0.29,92.5,""
"Allocricetulus eversmanni","Rodentia","Cricetidae",10,4,4,"1914 - 2024",2024,3,0.26,92.7,""
"Diplomesodon pulchellus","Eulipotyphla","Soricidae",10,4,4,"1940 - 2024",2024,4,0.26,93,""
"Microtus sp.","Rodentia","Cricetidae",10,10,6,"1925 - 2016",2016,5,0.26,93.2,""
"Ochotona alpina","Lagomorpha","Ochotonidae",10,8,6,"2014 - 2023",2023,2,0.26,93.5,""
"Pygeretmus shitkovi","Rodentia","Dipodidae",10,5,2,"1934 - 2016",2016,2,0.26,93.8,""
"Tamias sibiricus","Rodentia","Sciuridae",10,10,9,"2013 - 2025",2025,2,0.26,94,""
"Allactaga severtzovi","Rodentia","Dipodidae",9,4,3,"1915 - 2026",2026,3,0.24,94.3,""
"Marmota sp.","Rodentia","Sciuridae",9,0,0,"Inf - -Inf",NA,1,0.24,94.5,"collection records only, none georeferenced"
"Ochotona opaca","Lagomorpha","Ochotonidae",9,9,5,"2021 - 2025",2025,1,0.24,94.8,""
"Phodopus sp.","Rodentia","Cricetidae",9,9,4,"1911 - 1911",1911,2,0.24,95,""
"Pteromys volans","Rodentia","Sciuridae",9,9,9,"1927 - 2026",2026,3,0.24,95.2,""
"Microtus socialis","Rodentia","Cricetidae",8,2,2,"1929 - 2016",2016,4,0.21,95.4,""
"Myodes sp.","Rodentia","Cricetidae",8,3,1,"1960 - 2006",2006,2,0.21,95.6,""
"Ochotona pallasi","Lagomorpha","Ochotonidae",8,6,3,"1989 - 1989",1989,2,0.21,95.9,""
"Pygeretmus platyurus","Rodentia","Dipodidae",8,1,1,"1961 - 1968",1968,3,0.21,96.1,""
"Sorex asper","Eulipotyphla","Soricidae",8,0,0,"1904 - 1962",1962,2,0.21,96.3,"collection records only, none georeferenced"
"Spermophilus major","Rodentia","Sciuridae",8,6,5,"1924 - 2022",2022,5,0.21,96.5,""
"Alticola strelzowi","Rodentia","Cricetidae",7,1,1,"2016 - 2016",2016,2,0.18,96.7,""
"Phodopus sungorus","Rodentia","Cricetidae",7,2,2,"1844 - 2026",2026,5,0.18,96.9,""
"Ellobius sp.","Rodentia","Cricetidae",6,2,2,"1912 - 1950",1950,4,0.16,97,""
"Eolagurus luteus","Rodentia","Cricetidae",6,0,0,"1971 - 1971",1971,2,0.16,97.2,"collection records only, none georeferenced"
"Salpingotus crassicauda","Rodentia","Dipodidae",6,3,3,"1961 - 1970",1970,4,0.16,97.3,""
"Micromys minutus","Rodentia","Muridae",5,1,1,"1915 - 2016",2016,2,0.13,97.5,""
"Ochotona pusilla","Lagomorpha","Ochotonidae",5,3,2,"1937 - 1989",1989,4,0.13,97.6,""
"Spermophilus nilkaensis","Rodentia","Sciuridae",5,5,5,"2022 - 2026",2026,2,0.13,97.7,""
"Alticola macrotis","Rodentia","Cricetidae",4,3,1,"2005 - 2005",2005,2,0.11,97.8,""
"Cricetulus barabensis","Rodentia","Cricetidae",4,0,0,"Inf - -Inf",NA,1,0.11,97.9,"collection records only, none georeferenced"
"Myodes rufocanus","Rodentia","Cricetidae",4,1,1,"1927 - 1927",1927,1,0.11,98,""
"Ochotona macrotis","Lagomorpha","Ochotonidae",4,4,1,"Inf - -Inf",NA,1,0.11,98.2,""
"Paraechinus hypomelas","Eulipotyphla","Erinaceidae",4,1,1,"2024 - 2024",2024,2,0.11,98.3,""
"Alticola sp.","Rodentia","Cricetidae",3,3,3,"1979 - 1979",1979,2,0.08,98.3,""
"Marmota caudata","Rodentia","Sciuridae",3,0,0,"Inf - -Inf",NA,1,0.08,98.4,"collection records only, none georeferenced"
"Marmota menzbieri","Rodentia","Sciuridae",3,1,1,"1923 - 1923",1923,2,0.08,98.5,""
"Myospalax sp.","Rodentia","Spalacidae",3,2,2,"1956 - 1956",1956,1,0.08,98.6,""
"Pygeretmus sp.","Rodentia","Dipodidae",3,3,3,"1928 - 1928",1928,1,0.08,98.7,""
"Sorex minutus","Eulipotyphla","Soricidae",3,0,0,"Inf - -Inf",NA,1,0.08,98.7,"collection records only, none georeferenced"
"Talpa altaica","Eulipotyphla","Talpidae",3,1,1,"1966 - 2012",2012,2,0.08,98.8,""
"Alticola roylei","Rodentia","Cricetidae",2,2,2,"1938 - 1960",1960,1,0.05,98.9,""
"Apodemus flavicollis","Rodentia","Muridae",2,0,0,"1925 - 2023",2023,2,0.05,98.9,"collection records only, none georeferenced"
"Crocidura leucodon","Eulipotyphla","Soricidae",2,2,1,"1973 - 1973",1973,1,0.05,99,""
"Eremodipus lichtensteini","Rodentia","Dipodidae",2,1,1,"2016 - 2016",2016,2,0.05,99,""
"Lepus capensis","Lagomorpha","Leporidae",2,0,0,"1929 - 1929",1929,1,0.05,99.1,"collection records only, none georeferenced"
"Myodes glareolus","Rodentia","Cricetidae",2,0,0,"1896 - 1904",1904,1,0.05,99.1,"collection records only, none georeferenced"
"Niviventer fulvescens","Rodentia","Muridae",2,0,0,"1880 - 1880",1880,1,0.05,99.2,"collection records only, none georeferenced"
"Sicista napaea","Rodentia","Dipodidae",2,1,1,"1915 - 1926",1926,1,0.05,99.2,""
"Sicista pseudonapaea","Rodentia","Dipodidae",2,0,0,"Inf - -Inf",NA,1,0.05,99.3,"collection records only, none georeferenced"
"Sorex araneus","Eulipotyphla","Soricidae",2,1,1,"2016 - 2016",2016,2,0.05,99.3,""
"Spalax uralensis","Rodentia","Spalacidae",2,0,0,"Inf - -Inf",NA,2,0.05,99.4,"collection records only, none georeferenced"
"Allactaga sp.","Rodentia","Dipodidae",1,1,1,"Inf - -Inf",NA,1,0.03,99.4,""
"Allactaga vinogradovi","Rodentia","Dipodidae",1,0,0,"Inf - -Inf",NA,1,0.03,99.4,"collection records only, none georeferenced"
"Apodemus peninsulae","Rodentia","Muridae",1,0,0,"2007 - 2007",2007,1,0.03,99.5,"collection records only, none georeferenced"
"BOLD:AAC0496","Rodentia","Dipodidae",1,0,0,"2007 - 2007",2007,1,0.03,99.5,"collection records only, none georeferenced"
"Cardiocranius paradoxus","Rodentia","Dipodidae",1,1,1,"2016 - 2016",2016,1,0.03,99.5,""
"Cricetulus sp.","Rodentia","Cricetidae",1,0,0,"1922 - 1922",1922,1,0.03,99.6,"collection records only, none georeferenced"
"Dryomys sp.","Rodentia","Gliridae",1,1,1,"Inf - -Inf",NA,1,0.03,99.6,""
"Erinaceus europaeus","Eulipotyphla","Erinaceidae",1,0,0,"Inf - -Inf",NA,1,0.03,99.6,"collection records only, none georeferenced"
"Microtus guentheri","Rodentia","Cricetidae",1,0,0,"Inf - -Inf",NA,1,0.03,99.6,"collection records only, none georeferenced"
"Microtus oeconomus","Rodentia","Cricetidae",1,0,0,"2007 - 2007",2007,1,0.03,99.7,"collection records only, none georeferenced"
"Microtus transcaspicus","Rodentia","Cricetidae",1,1,1,"1949 - 1949",1949,1,0.03,99.7,""
"Mus sp.","Rodentia","Muridae",1,0,0,"1923 - 1923",1923,1,0.03,99.7,"collection records only, none georeferenced"
"Myocastor coypus","Rodentia","Echimyidae",1,1,1,"2025 - 2025",2025,1,0.03,99.7,""
"Myopus schisticolor","Rodentia","Cricetidae",1,1,1,"1969 - 1969",1969,1,0.03,99.8,""
