species,genus,family,zoonotic_priority,body_mass_category,n_records,rank,cumulative_prop
Sciurus vulgaris,Sciurus,Sciuridae,LOW,Unknown,327,1,0.19926873857404023
Rhombomys opimus,Rhombomys,Muridae,CRITICAL - Plague reservoir,Large (150-250g),139,2,0.28397318708104813
Marmota baibacina,Marmota,Sciuridae,LOW,Large (150-250g),131,3,0.36380255941499084
Marmota bobak,Marmota,Sciuridae,LOW,Large (150-250g),101,4,0.4253503960999391
Ondatra zibethicus,Ondatra,Cricetidae,LOW,Unknown,101,5,0.48689823278488725
Spermophilus erythrogenys,Spermophilus,Sciuridae,LOW,Large (150-250g),76,6,0.5332114564290067
Spermophilus fulvus,Spermophilus,Sciuridae,LOW,Large (150-250g),74,7,0.5783059110298598
Allactaga elater,Allactaga,Dipodidae,LOW,Unknown,57,8,0.6130408287629494
,,Muridae,LOW,Unknown,51,9,0.64411943936624
,,Cricetidae,LOW,Unknown,40,10,0.6684948202315661
Rattus norvegicus,Rattus,Muridae,HIGH - Multi-pathogen,Small (20-50g),40,11,0.6928702010968921
Spermophilus pygmaeus,Spermophilus,Sciuridae,LOW,Large (150-250g),26,12,0.708714198659354
,,Sciuridae,LOW,Unknown,21,13,0.7215112736136502
Hystrix indica,Hystrix,Hystricidae,LOW,Unknown,21,14,0.7343083485679464
Sicista tianshanica,Sicista,Dipodidae,LOW,Unknown,21,15,0.7471054235222425
Mus musculus,Mus,Muridae,LOW,Small (20-50g),19,16,0.7586837294332724
Cricetulus migratorius,Cricetulus,Cricetidae,MEDIUM - Plague/hantavirus,Medium (50-150g),18,17,0.7696526508226691
Urocitellus undulatus,Urocitellus,Sciuridae,LOW,Unknown,18,18,0.7806215722120659
Dipus sagitta,Dipus,Dipodidae,LOW,Unknown,16,19,0.7903717245581963
Apodemus uralensis,Apodemus,Muridae,HIGH - Multi-pathogen,Small (20-50g),15,20,0.7995124923826935
Pygeretmus pumilio,Pygeretmus,Dipodidae,LOW,Unknown,15,21,0.8086532602071907
Allactaga major,Allactaga,Dipodidae,LOW,Unknown,13,22,0.8165752589884216
Meriones tamariscinus,Meriones,Muridae,CRITICAL - Plague reservoir,Medium (50-150g),12,23,0.8238878732480195
Stylodipus telum,Stylodipus,Dipodidae,LOW,Unknown,12,24,0.8312004875076173
Alticola argentatus,Alticola,Cricetidae,LOW,Unknown,11,25,0.837903717245582
Ellobius tancrei,Ellobius,Cricetidae,LOW,Unknown,11,26,0.8446069469835467
Sicista subtilis,Sicista,Dipodidae,LOW,Unknown,11,27,0.8513101767215113
Meriones meridianus,Meriones,Muridae,CRITICAL - Plague reservoir,Medium (50-150g),10,28,0.8574040219378428
Phodopus sungorus,Phodopus,Cricetidae,LOW,Unknown,10,29,0.8634978671541743
,,Castoridae,LOW,Unknown,9,30,0.8689823278488726
Allactaga sibirica,Allactaga,Dipodidae,LOW,Unknown,8,31,0.8738574040219378
Meriones libycus,Meriones,Muridae,CRITICAL - Plague reservoir,Medium (50-150g),8,32,0.878732480195003
Tamias sibiricus,Tamias,Sciuridae,LOW,Unknown,8,33,0.8836075563680682
Ellobius talpinus,Ellobius,Cricetidae,LOW,Unknown,7,34,0.8878732480195003
Spermophilopsis leptodactylus,Spermophilopsis,Sciuridae,LOW,Unknown,7,35,0.8921389396709324
Spermophilus brevicauda,Spermophilus,Sciuridae,LOW,Large (150-250g),7,36,0.8964046313223644
,,Dipodidae,LOW,Unknown,6,37,0.9000609384521633
Pteromys volans,Pteromys,Sciuridae,LOW,Unknown,6,38,0.9037172455819622
Aksyiromys dalos,Aksyiromys,Dipodidae,LOW,Unknown,4,39,0.9061547836684948
Apodemus agrarius,Apodemus,Muridae,HIGH - Multi-pathogen,Small (20-50g),4,40,0.9085923217550275
Arvicola amphibius,Arvicola,Cricetidae,LOW,Unknown,4,41,0.91102985984156
Capatanka schokensis,Capatanka,Castoridae,LOW,Unknown,4,42,0.9134673979280926
Castor fiber,Castor,Castoridae,LOW,Unknown,4,43,0.9159049360146252
Cricetus cricetus,Cricetus,Cricetidae,LOW,Unknown,4,44,0.9183424741011579
Dryomys nitedula,Dryomys,Gliridae,LOW,Unknown,4,45,0.9207800121876905
Eumysodon spurius,Eumysodon,Muridae,LOW,Unknown,4,46,0.923217550274223
Microtus arvalis,Microtus,Cricetidae,HIGH - Hantavirus,Small (20-50g),4,47,0.9256550883607556
Myodes centralis,Myodes,Cricetidae,HIGH - Hantavirus,Unknown,4,48,0.9280926264472883
Propalaeocastor kumbulakensis,Propalaeocastor,Castoridae,LOW,Unknown,4,49,0.9305301645338209
Spermophilus major,Spermophilus,Sciuridae,LOW,Large (150-250g),4,50,0.9329677026203534
Spermophilus relictus,Spermophilus,Sciuridae,LOW,Large (150-250g),4,51,0.935405240706886
Zhungaromys gromovi,Zhungaromys,Cricetidae,LOW,Unknown,4,52,0.9378427787934186
Alticola macrotis,Alticola,Cricetidae,LOW,Unknown,3,53,0.9396709323583181
Argyromys aralensis,Argyromys,Muridae,LOW,Unknown,3,54,0.9414990859232175
Capacikala sajakensis,Capacikala,Castoridae,LOW,Unknown,3,55,0.943327239488117
Eucricetodon occasionalis,Eucricetodon,Muridae,LOW,Unknown,3,56,0.9451553930530164
Eumyarion tremulus,Eumyarion,Muridae,LOW,Unknown,3,57,0.946983546617916
Myodes rutilus,Myodes,Cricetidae,HIGH - Hantavirus,Unknown,3,58,0.9488117001828154
Pappocricetodon kazakstanicus,Pappocricetodon,Muridae,LOW,Unknown,3,59,0.9506398537477148
Pygeretmus shitkovi,Pygeretmus,Dipodidae,LOW,Unknown,3,60,0.9524680073126143
Salpingotus crassicauda,Salpingotus,Dipodidae,LOW,Unknown,3,61,0.9542961608775137
Tachyoryctoides obrutschewi,Tachyoryctoides,Muridae,LOW,Unknown,3,62,0.9561243144424132
Yindirtemys birgeri,Yindirtemys,Ctenodactylidae,LOW,Unknown,3,63,0.9579524680073126
,,Tsaganomyidae,LOW,Unknown,2,64,0.9591712370505789
Advenimus bohlini,Advenimus,Ctenodactylidae,LOW,Unknown,2,65,0.9603900060938452
Allactaga severtzovi,Allactaga,Dipodidae,LOW,Unknown,2,66,0.9616087751371115
Allocricetulus eversmanni,Allocricetulus,Cricetidae,LOW,Unknown,2,67,0.9628275441803779
Aralocricetodon schokensis,Aralocricetodon,Muridae,LOW,Unknown,2,68,0.9640463132236441
Castor peninsulatus,Castor,Castoridae,LOW,Unknown,2,69,0.9652650822669104
Eomyodon bolligeri,Eomyodon,Eomyidae,LOW,Unknown,2,70,0.9664838513101767
Eucricetodon caducus,Eucricetodon,Muridae,LOW,Unknown,2,71,0.967702620353443
Lagurus lagurus,Lagurus,Cricetidae,LOW,Unknown,2,72,0.9689213893967094
