"species","family","n_records","n_locations","year_range"
"Sciurus vulgaris","Sciuridae",334,110,"2005 - 2025"
"Rhombomys opimus","Muridae",152,111,"1957 - 2025"
"Apodemus agrarius","Muridae",137,133,"1915 - 2024"
"Marmota baibacina","Sciuridae",135,61,"1957 - 2025"
"Marmota bobak","Sciuridae",110,87,"1954 - 2025"
"Ondatra zibethicus","Cricetidae",102,52,"2011 - 2025"
"Spermophilus fulvus","Sciuridae",81,71,"1967 - 2025"
"Spermophilus erythrogenys","Sciuridae",77,16,"1948 - 2022"
"Allactaga elater","Dipodidae",58,21,"1927 - 2025"
"Ellobius talpinus","Cricetidae",53,14,"1913 - 1979"
"Rattus norvegicus","Muridae",40,26,"2009 - 2025"
"Meriones sp.","Muridae",30,9,"2015 - 2016"
"Spermophilus pygmaeus","Sciuridae",26,21,"1950 - 2025"
"Mus musculus","Muridae",24,19,"1843 - 2025"
"Sicista tianshanica","Dipodidae",22,14,"1938 - 1938"
"Allocricetulus sp.","Cricetidae",21,5,"1970 - 2007"
"Hystrix indica","Hystricidae",21,18,"2023 - 2025"
"Cricetulus migratorius","Cricetidae",20,10,"1853 - 2016"
"Dipus sagitta","Dipodidae",20,12,"1929 - 2017"
"Spermophilus sp.","Sciuridae",20,18,"1987 - 2006"
"Urocitellus undulatus","Sciuridae",20,15,"1967 - 2025"
"Allactaga major","Dipodidae",18,16,"1928 - 2025"
"Pygeretmus pumilio","Dipodidae",16,7,"1969 - 2016"
"Apodemus sp.","Muridae",15,1,"1937 - 1937"
"Apodemus uralensis","Muridae",15,10,"1996 - 2025"
"Cricetus cricetus","Cricetidae",15,15,"1924 - 2025"
"Stylodipus telum","Dipodidae",14,9,"1928 - 2016"
"Ellobius tancrei","Cricetidae",13,13,"2014 - 2025"
"Meriones tamariscinus","Muridae",13,6,"1916 - 2016"
"Microtus sp.","Cricetidae",12,7,"1925 - 2016"
"Alticola argentatus","Cricetidae",11,1,"Inf - -Inf"
"Meriones meridianus","Muridae",11,5,"1934 - 2016"
"Sicista subtilis","Dipodidae",11,4,"2007 - 2007"
"Phodopus sungorus","Cricetidae",10,4,"2025 - 2025"
"Meriones libycus","Muridae",9,8,"2009 - 2025"
"Tachyoryctoides sp.","Muridae",9,5,"Inf - -Inf"
"Allactaga sibirica","Dipodidae",8,6,"2007 - 2016"
"Tamias sibiricus","Sciuridae",8,7,"2013 - 2025"
"Pteromys volans","Sciuridae",7,7,"1927 - 2024"
"Spermophilopsis leptodactylus","Sciuridae",7,7,"2022 - 2025"
"Spermophilus brevicauda","Sciuridae",7,7,"1954 - 2019"
"Dryomys nitedula","Gliridae",5,5,"1938 - 2025"
"Pygeretmus shitkovi","Dipodidae",5,2,"1934 - 2016"
"Aksyiromys dalos","Dipodidae",4,2,"Inf - -Inf"
"Allocricetulus eversmanni","Cricetidae",4,4,"1914 - 2024"
"Arvicola amphibius","Cricetidae",4,4,"2022 - 2022"
"Capatanka schokensis","Castoridae",4,4,"Inf - -Inf"
"Castor fiber","Castoridae",4,4,"2023 - 2025"
"Ellobius sp.","Cricetidae",4,4,"1950 - 1950"
"Eumysodon spurius","Muridae",4,2,"Inf - -Inf"
"Lagurus lagurus","Cricetidae",4,4,"1928 - 2021"
"Microtus arvalis","Cricetidae",4,1,"1981 - 1981"
