"latitude","longitude","species_richness","n_records","n_families"
43.25,76.75,20,428,6
48.25,84.25,17,19,7
50.25,57.25,17,26,7
46.75,60.75,13,16,2
45.25,80.25,11,17,3
43.25,77.25,10,70,5
43.75,79.25,10,17,5
47.25,60.75,10,11,3
46.75,60.25,9,13,4
47.75,85.25,9,22,4
44.25,75.25,8,20,3
45.25,77.25,7,16,2
45.25,79.25,7,24,2
45.75,80.75,7,16,6
50.25,80.25,7,8,5
50.25,80.75,7,10,4
43.25,78.75,6,22,4
43.25,79.25,6,56,3
45.25,75.25,6,18,3
45.25,78.25,6,12,4
46.25,74.25,6,19,2
46.25,79.25,6,13,4
46.75,61.25,6,7,3
47.25,74.75,6,12,2
49.75,73.25,6,50,4
49.75,84.25,6,6,4
54.25,67.75,6,6,3
44.25,79.25,5,7,2
46.25,78.25,5,8,3
46.25,80.25,5,10,3
46.75,74.75,5,6,3
49.25,75.25,5,24,2
49.25,85.75,5,8,4
49.75,72.75,5,12,3
42.25,69.75,4,7,3
43.25,78.25,4,10,3
43.75,75.25,4,5,4
43.75,76.75,4,9,3
43.75,77.25,4,9,3
43.75,78.75,4,9,2
44.25,73.25,4,14,2
44.25,78.75,4,27,2
46.25,70.25,4,4,2
47.25,81.25,4,4,4
48.75,51.75,4,5,3
48.75,60.25,4,4,4
48.75,82.25,4,7,2
48.75,83.25,4,6,3
49.25,57.25,4,4,3
49.75,82.75,4,11,3
